pos	5pG>A
1	0.0169651272384543
2	0.00511770726714432
3	0.00722394220846233
4	0.00904522613065327
5	0.00869565217391304
6	0.0121722846441948
7	0.0182341650671785
8	0.0109126984126984
9	0.00865384615384615
10	0.0122641509433962
11	0.0145719489981785
12	0.0134228187919463
13	0.0152671755725191
14	0.00934579439252336
15	0.00937207122774133
16	0.00390625
17	0.00808625336927224
18	0.0103480714957667
19	0.00654205607476636
20	0.0124401913875598
21	0.0087719298245614
22	0.00865384615384615
23	0.00746965452847806
24	0.0113851992409867
25	0.0134874759152216
