"","Position","C.T","G.A"
"1",1,0.960690255681297,0.219556490894402
"2",2,0.915233548124986,0.245246689284688
"3",3,0.868840914096119,0.262973042166106
"4",4,0.838518904972492,0.323640654477631
"5",5,0.821256512675688,0.417936497026778
"6",6,0.809713318343727,0.514944503195084
"7",7,0.800406057038825,0.590105352579066
"8",8,0.79160325208567,0.646923764739301
"9",9,0.779890364787623,0.701261259901772
"10",10,0.76729657916502,0.740548039707221
"11",11,0.762834388951981,0.751273595719492
"12",12,0.766112879470343,0.743312467372445
"13",-12,0.585883706256155,0.871517971577994
"14",-11,0.58155439536834,0.872391272833252
"15",-10,0.589545431039337,0.870837582248594
"16",-9,0.602358636103372,0.868171513216218
"17",-8,0.612559658349297,0.866066345333621
"18",-7,0.617013585763995,0.865843311394824
"19",-6,0.631914369816651,0.864281328357694
"20",-5,0.65756096107091,0.863206639887213
"21",-4,0.678462815985438,0.873852373783342
"22",-3,0.699359285546617,0.903419287952606
"23",-2,0.729106450627403,0.945332152361884
"24",-1,0.729259721770945,0.978613909078702
