"","Theta","DeltaD","DeltaS","Lambda","Rho","LogLik"
"Mean",0.0113230778808033,0.014974582031947,0.453138071915305,0.685847971779189,0.21464252126907,-625.89881780118
"Std.",0.000794857973256793,0.00114006038053939,0.112613290895689,0.0607020407647618,0.0245111640106049,1.57095564302997
"Acceptance ratio",0.15594,0.2812,0.15666,0.19016,0.1815,0.65906
"0%",0.00852530382653709,0.00994532113367053,0.221451578390013,0.484230239654247,0.129207478321114,-639.198327793135
"2.5%",0.00982056881340125,0.0127803295984375,0.290026013049112,0.568426164018276,0.170775401145499,-629.705853625308
"5%",0.010053369024317,0.0131536553009607,0.308403301625707,0.587587341912118,0.176292840633154,-628.908714026403
"7.5%",0.0101946610120665,0.0133696743161883,0.321475608348097,0.598716632298612,0.180881718762896,-628.411729547395
"10%",0.0103284543429814,0.0135320324009127,0.331015309425091,0.608275594178219,0.184189538960362,-628.015432732163
"12.5%",0.0104158423812016,0.0136702571467561,0.33893909943349,0.616441157443772,0.186915012257894,-627.7309693266
"15%",0.0104946821097566,0.0137977542795588,0.347130968902439,0.622489448717799,0.18963513027086,-627.474564840571
"17.5%",0.0105728313559583,0.0139081987327919,0.353673285369168,0.628316240905077,0.191891289962082,-627.262019956764
"20%",0.0106451669518231,0.0140063267509974,0.36007336480998,0.63412361625567,0.193965106628151,-627.064653008662
"22.5%",0.0107081571664195,0.0141047958067124,0.367777676004342,0.63966946691868,0.195812158232444,-626.889812513913
"25%",0.0107650842202857,0.0141960017012329,0.373464386250096,0.644275189270597,0.197428813006587,-626.726808294601
"27.5%",0.0108294569420835,0.0142813830321109,0.378832949465818,0.649051329033305,0.199109547138358,-626.578746616941
"30%",0.0108946036798549,0.0143703621198943,0.384585372775996,0.652516021873585,0.200985891092853,-626.448421505667
"32.5%",0.0109501990231064,0.0144444908189327,0.390941142929206,0.656735734692963,0.202511817480038,-626.318366652922
"35%",0.0109968758243485,0.0145216974999961,0.395902604246841,0.661238193650119,0.203824459457272,-626.199894239959
"37.5%",0.0110511447540718,0.0145995171373251,0.401853325214159,0.665641306472782,0.205311298630536,-626.08774457972
"40%",0.0111130702142968,0.0146758365871666,0.40871313223912,0.669699526036152,0.207092699723396,-625.984451734671
"42.5%",0.0111619894547796,0.0147551043492481,0.414408945400458,0.673190254147854,0.208599993736955,-625.882792036593
"45%",0.0112076663765764,0.0148307556081933,0.419530675811312,0.676621337442275,0.210144897854349,-625.786038631949
"47.5%",0.0112582718161871,0.014898490227841,0.425980351754898,0.680114913203189,0.211431950345294,-625.689416036431
"50%",0.0113058677833319,0.0149721740682188,0.432399666175498,0.684230348455332,0.213118960565825,-625.589890984892
"52.5%",0.0113538455056531,0.0150331628605777,0.437774596673798,0.688150095195861,0.214476069740664,-625.499673156819
"55%",0.0114034184138528,0.0151060874505319,0.444091065228208,0.692248542068308,0.215943792585395,-625.409981212734
"57.5%",0.0114540036499839,0.0151838201419039,0.451127737816878,0.696254182162644,0.217483289684666,-625.324129440622
"60%",0.0115097611962887,0.0152630298147343,0.458659398145145,0.700561782213362,0.219380424055202,-625.231997165306
"62.5%",0.0115724467543347,0.015332694060487,0.465958801306195,0.704912912479131,0.22083134683517,-625.151957412865
"65%",0.0116205090838523,0.0154105862322456,0.473741863642679,0.709887902310978,0.222678691535278,-625.074671643049
"67.5%",0.0116643539775128,0.0154844100748673,0.481715527674653,0.713442021907547,0.22419936715812,-624.991953236515
"70%",0.0117219020080272,0.0155568673361897,0.491373816001664,0.718119540556438,0.226047088759893,-624.905741003427
"72.5%",0.0117807531091635,0.0156373609052205,0.502036452009583,0.722586394594938,0.228278871399765,-624.819371543594
"75%",0.0118428707425658,0.0157322289603569,0.512299688987724,0.727941162322794,0.230667014870883,-624.738306845644
"77.5%",0.0119066083687068,0.0158326800244346,0.522885690354598,0.732921377587173,0.232819241693188,-624.650537925965
"80%",0.0119760123537636,0.015931560402252,0.536491826421881,0.738122018744923,0.235222607004086,-624.561004758987
"82.5%",0.0120576623368821,0.0160372001629147,0.552178579492827,0.744228026702591,0.237709838251069,-624.471625514445
"85%",0.012152935554566,0.0161454204968192,0.566219841672225,0.750599953230483,0.24048344134017,-624.376779113598
"87.5%",0.0122484630103537,0.0162844661455952,0.582946473151442,0.757383438360642,0.243135484235231,-624.289789980386
"90%",0.0123617445790869,0.0164380846724372,0.603173256678668,0.765004730546643,0.246975161471733,-624.191809625258
"92.5%",0.0124979496208418,0.0166238898591491,0.630423590180605,0.775028642522407,0.251752323489617,-624.075282943459
"95%",0.0126762654562166,0.0168768122946552,0.665828469991112,0.78719325163924,0.257834439893258,-623.946576050861
"97.5%",0.0129549424037615,0.0172617019426642,0.73161077982858,0.805626721307754,0.268029602666812,-623.794311941453
"100%",0.0151504568535375,0.0194197785856609,0.991514189303978,0.875567537400666,0.330062119888564,-623.385619479467
