pos	5pG>A
1	0.0169811320754717
2	0.00511770726714432
3	0.00723888314374354
4	0.00906344410876133
5	0.00869565217391304
6	0.0121836925960637
7	0.0182341650671785
8	0.0109235352532274
9	0.00866217516843118
10	0.012275731822474
11	0.0145852324521422
12	0.0134615384615385
13	0.015311004784689
14	0.00934579439252336
15	0.0093984962406015
16	0.0039177277179236
17	0.0081008100810081
18	0.0103480714957667
19	0.00654817586529467
20	0.012464046021093
21	0.0087719298245614
22	0.00866217516843118
23	0.00746965452847806
24	0.0113960113960114
25	0.0135265700483092
