pos	5pC>T
1	0.136696501220504
2	0.0671563483735572
3	0.041385948026949
4	0.0297219558964525
5	0.0156862745098039
6	0.0169322709163347
7	0.0191754554170662
8	0.0178926441351889
9	0.0163304514889529
10	0.0104761904761905
11	0.0113314447592068
12	0.0161779575328615
13	0.00979431929480901
14	0.00987166831194472
15	0.0119926199261993
16	0.0101289134438306
17	0.00842696629213483
18	0.0137488542621448
19	0.0117117117117117
20	0.0206572769953052
21	0.010597302504817
22	0.0146341463414634
23	0.0130963517305893
24	0.0216981132075472
25	0.0131313131313131
