"","Theta","DeltaD","DeltaS","Lambda","Rho","LogLik"
"Mean",0.0113458078632443,0.0149778904979981,0.459613414218604,0.687855667433339,0.212951852161533,-625.212764615956
"Std.",0.000790955052321875,0.00113687393291075,0.124052899162252,0.0642111065480711,0.023740848183788,1.6063929072159
"Acceptance ratio",0.15916,0.28188,0.15608,0.18964,0.17926,0.66072
"0%",0.00870926016693577,0.0105083733498431,0.23229054713383,0.477062329827556,0.142623090016792,-638.152728787428
"2.5%",0.00986403646151082,0.012766804235134,0.288110664181425,0.565553737176726,0.16947669706174,-629.121874117845
"5%",0.0100963388148023,0.0131236898283142,0.307517928700233,0.58389036424831,0.176470408828483,-628.311679907009
"7.5%",0.0102347942585677,0.0133399970041398,0.317308712755317,0.59757255427478,0.18083544397528,-627.792421069079
"10%",0.0103522529458297,0.0135312163904788,0.328558946874045,0.606020644152975,0.183863634431242,-627.405738378928
"12.5%",0.0104544575510969,0.0136916953552681,0.337273220915749,0.613412598152401,0.186531944918114,-627.081702004158
"15%",0.010536997484713,0.0138177553689423,0.344333810012642,0.621396858522673,0.188789009080672,-626.810514544011
"17.5%",0.0106059438501855,0.0139246855841531,0.352927099293034,0.628423704509462,0.190664499103673,-626.584560305397
"20%",0.0106754553699398,0.0140375085691327,0.360512597554751,0.634194712989427,0.192815168281565,-626.388049659023
"22.5%",0.0107434079811482,0.0141297213056655,0.367131068703465,0.639003461496869,0.194363718158267,-626.222871848761
"25%",0.0108035852888335,0.0142238985928397,0.372377755547923,0.643980717002161,0.196135650465932,-626.059425248751
"27.5%",0.0108557044914976,0.0143073644549596,0.377531935798635,0.648543637394288,0.197850548527824,-625.921465910726
"30%",0.0109118756320371,0.0143838998018857,0.383652567791903,0.652977156935585,0.199558715669649,-625.770184809272
"32.5%",0.0109655995794065,0.0144597579225593,0.391105506978262,0.656941785178025,0.20151912299663,-625.633140435848
"35%",0.0110195609473099,0.0145246758819669,0.397153708561797,0.661834917604612,0.203154688732956,-625.512202813367
"37.5%",0.0110683046438305,0.0146001680494909,0.403638081448393,0.666222749115767,0.20477273435384,-625.39793761752
"40%",0.0111198975148489,0.0146735097594846,0.410454242221371,0.670038651979403,0.20614566646488,-625.286302975576
"42.5%",0.0111691138266051,0.014740908199615,0.416799262144747,0.67367026416888,0.207663186890833,-625.181308946181
"45%",0.0112218120496894,0.0148183314030039,0.422861999906055,0.677519937339989,0.209134521417102,-625.077553813407
"47.5%",0.0112719827368149,0.0148902627603433,0.429680907097027,0.681223173289111,0.210646295199618,-624.976530975362
"50%",0.0113233375578464,0.0149680727442308,0.43568681685136,0.685696352622818,0.211938867127947,-624.878976070676
"52.5%",0.0113722582301426,0.0150336864398535,0.442972376886936,0.689847954368182,0.21336041137137,-624.784980098105
"55%",0.011418998574011,0.0151032393491199,0.450069657798707,0.694078179377981,0.214947170922903,-624.695754564722
"57.5%",0.0114668587217873,0.0151765724948404,0.457220514939616,0.69816075031288,0.216245556337812,-624.607297162195
"60%",0.0115204531546485,0.0152445877734087,0.463793986105963,0.703175934313328,0.217682250181361,-624.52191867074
"62.5%",0.0115773230575106,0.0153231123328676,0.471417531335869,0.707605066154305,0.219024803625373,-624.43926383274
"65%",0.0116345359236595,0.0154013335361765,0.477689828210893,0.712093390758627,0.220396758058347,-624.352212928336
"67.5%",0.0116853178700098,0.0154813044691193,0.485806692344396,0.715976448873317,0.222174161563264,-624.271684096939
"70%",0.0117341954416976,0.0155783366131882,0.495960227689467,0.720686302335342,0.224079912126264,-624.190607259393
"72.5%",0.011808566377453,0.0156569091518485,0.506890963613309,0.72485061244026,0.22591457260585,-624.105093832768
"75%",0.0118660936294943,0.0157359468183628,0.518539249824324,0.729690918323973,0.227942696196818,-624.013517529907
"77.5%",0.0119269343426069,0.0158257473695832,0.530484905100101,0.735558028446683,0.230297670047337,-623.934360920473
"80%",0.0120007463175993,0.0159270538064192,0.541606526018315,0.7418197121361,0.232530323584678,-623.850394994073
"82.5%",0.0120763024148824,0.0160238615113599,0.555896234730516,0.747943738697623,0.234682962181408,-623.75895833987
"85%",0.0121571752004594,0.0161469308404758,0.574091634105201,0.754263102544158,0.23665327155809,-623.671278911844
"87.5%",0.012266292801139,0.0162811981116889,0.596498815359598,0.76298033766811,0.239741656402985,-623.577555760786
"90%",0.0123737090076637,0.0164329507008447,0.623982352185428,0.773794280187883,0.243182979547353,-623.475210788822
"92.5%",0.0125095018365994,0.0166295458878954,0.660971760491788,0.785354795326079,0.247547543038036,-623.370492819502
"95%",0.0126712218141581,0.0168764576142107,0.708975288454971,0.801682761630599,0.254399450047235,-623.253476044156
"97.5%",0.0129496819346832,0.0172212455013853,0.7888252278688,0.819429619093679,0.264217094749361,-623.097326205777
"100%",0.0151568281669736,0.0192682551324565,0.99920539450388,0.873420708991264,0.341129508690946,-622.693124665741
