"","Position","C.T","G.A"
"1",1,0.960523600182042,0.219848509817768
"2",2,0.914680150140509,0.24489477751771
"3",3,0.868365146668645,0.262588892468546
"4",4,0.838125153346708,0.323318349113456
"5",5,0.820798992959789,0.417634977001203
"6",6,0.809155463467532,0.514545457461676
"7",7,0.799772848288716,0.589540277828789
"8",8,0.790930392486686,0.646193060653194
"9",9,0.779183576431188,0.700488408178957
"10",10,0.766568593489789,0.739772411283857
"11",11,0.762133282514538,0.750419551641252
"12",12,0.765466455242134,0.742305806474089
"13",-12,0.5844552979105,0.871145243483967
"14",-11,0.580336283705446,0.871978848143546
"15",-10,0.588506602056406,0.870391418713263
"16",-9,0.601448347617321,0.867700001850383
"17",-8,0.611768949526404,0.865577525028662
"18",-7,0.616347285961756,0.865355374426955
"19",-6,0.63134105163377,0.863819420055663
"20",-5,0.657077436381638,0.862791363886605
"21",-4,0.677983684867266,0.873496961250907
"22",-3,0.698673959112491,0.903031547078289
"23",-2,0.728093225781005,0.944943674590918
"24",-1,0.728952437524148,0.978516067733485
